assessment_id,student_id,module_id,course_id,attempt_number,score,max_score,assessment_date,time_taken_minutes,passed
ASS0000001,STU00001,MOD00057,CRS008,1,68,100,2025-09-11,33,False
ASS0000002,STU00001,MOD00057,CRS008,2,81,100,2025-09-16,26,False
ASS0000003,STU00001,MOD00058,CRS008,1,89,100,2025-07-24,55,True
ASS0000004,STU00001,MOD00058,CRS008,2,88,100,2025-07-24,20,True
ASS0000005,STU00001,MOD00059,CRS008,1,50,100,2025-09-25,23,True
ASS0000006,STU00001,MOD00059,CRS008,2,71,100,2025-09-28,40,True
ASS0000007,STU00001,MOD00060,CRS008,1,71,100,2025-08-30,37,True
ASS0000008,STU00001,MOD00060,CRS008,2,65,100,2025-08-30,56,False
ASS0000009,STU00001,MOD00062,CRS008,1,84,100,2025-07-12,36,True
ASS0000010,STU00001,MOD00062,CRS008,2,58,100,2025-07-16,53,False
ASS0000011,STU00001,MOD00064,CRS008,1,57,100,2025-08-22,44,False
ASS0000012,STU00001,MOD00017,CRS003,1,30,100,2025-07-24,43,True
ASS0000013,STU00001,MOD00017,CRS003,2,45,100,2025-07-24,51,False
ASS0000014,STU00001,MOD00017,CRS003,3,67,100,2025-07-21,54,True
ASS0000015,STU00001,MOD00018,CRS003,1,92,100,2025-05-15,52,True
ASS0000016,STU00001,MOD00020,CRS003,1,87,100,2025-07-08,20,True
ASS0000017,STU00001,MOD00020,CRS003,2,97,100,2025-07-07,14,True
ASS0000018,STU00001,MOD00021,CRS003,1,61,100,2025-06-01,22,True
ASS0000019,STU00001,MOD00021,CRS003,2,56,100,2025-05-30,57,True
ASS0000020,STU00001,MOD00021,CRS003,3,60,100,2025-06-01,19,True
ASS0000021,STU00001,MOD00024,CRS003,1,40,100,2025-08-08,19,False
ASS0000022,STU00001,MOD00024,CRS003,2,35,100,2025-08-10,30,True
ASS0000023,STU00001,MOD00024,CRS003,3,100,100,2025-08-08,43,True
ASS0000024,STU00001,MOD00077,CRS010,1,53,100,2025-06-30,12,True
ASS0000025,STU00001,MOD00077,CRS010,2,91,100,2025-06-26,58,True
ASS0000026,STU00001,MOD00034,CRS005,1,41,100,2026-05-30,45,True
ASS0000027,STU00001,MOD00034,CRS005,2,56,100,2026-06-01,14,True
ASS0000028,STU00001,MOD00035,CRS005,1,54,100,2026-05-27,56,True
ASS0000029,STU00001,MOD00037,CRS005,1,62,100,2026-04-25,28,True
ASS0000030,STU00001,MOD00038,CRS005,1,95,100,2026-06-08,23,True
