enrollment_id,student_id,course_id,enrollment_date,status
ENR000001,STU00001,CRS008,2025-07-16,Completed
ENR000002,STU00001,CRS003,2025-05-15,Completed
ENR000003,STU00001,CRS010,2025-05-15,Active
ENR000004,STU00001,CRS005,2026-03-22,Completed
ENR000005,STU00002,CRS004,2025-11-10,Active
ENR000006,STU00002,CRS005,2025-05-18,Completed
ENR000007,STU00003,CRS004,2025-11-24,Active
ENR000008,STU00003,CRS012,2025-11-24,Completed
ENR000009,STU00003,CRS015,2025-11-24,Completed
ENR000010,STU00003,CRS007,2025-11-24,Completed
ENR000011,STU00003,CRS005,2025-11-24,Active
ENR000012,STU00004,CRS020,2025-11-11,Active
ENR000013,STU00005,CRS009,2025-10-31,Completed
ENR000014,STU00005,CRS006,2026-01-24,Active
ENR000015,STU00005,CRS013,2025-09-28,Completed
ENR000016,STU00005,CRS010,2025-09-28,Completed
ENR000017,STU00005,CRS012,2025-12-02,Active
ENR000018,STU00006,CRS001,2025-11-03,Completed
ENR000019,STU00006,CRS016,2026-02-20,Completed
ENR000020,STU00006,CRS004,2025-11-25,Dropped
ENR000021,STU00006,CRS017,2025-04-29,Dropped
ENR000022,STU00007,CRS005,2025-06-27,Active
ENR000023,STU00007,CRS018,2025-12-24,Completed
ENR000024,STU00007,CRS011,2025-06-09,Dropped
ENR000025,STU00008,CRS001,2026-03-25,Completed
ENR000026,STU00008,CRS019,2026-02-19,Completed
ENR000027,STU00008,CRS015,2025-10-12,Completed
ENR000028,STU00008,CRS004,2026-04-06,Active
ENR000029,STU00008,CRS008,2025-09-20,Dropped
ENR000030,STU00009,CRS007,2025-10-17,Completed
ENR000031,STU00009,CRS009,2025-07-18,Completed
ENR000032,STU00009,CRS008,2026-01-24,Active
ENR000033,STU00009,CRS011,2026-01-18,Completed
ENR000034,STU00009,CRS010,2025-06-16,Completed
ENR000035,STU00010,CRS003,2025-10-26,Completed
ENR000036,STU00010,CRS007,2025-04-30,Dropped
ENR000037,STU00010,CRS010,2025-06-25,Active
ENR000038,STU00010,CRS012,2025-12-09,Active
ENR000039,STU00010,CRS002,2025-06-18,Active
ENR000040,STU00011,CRS009,2025-10-19,Completed
ENR000041,STU00011,CRS011,2025-08-13,Completed
