module_id,course_id,module_number,module_name,duration_hours,content_type,difficulty
MOD00001,CRS001,1,Python Programming - Module 1,8,Project,Easy
MOD00002,CRS001,2,Python Programming - Module 2,8,Video,Medium
MOD00003,CRS001,3,Python Programming - Module 3,3,Project,Easy
MOD00004,CRS001,4,Python Programming - Module 4,5,Project,Medium
MOD00005,CRS001,5,Python Programming - Module 5,6,Quiz,Hard
MOD00006,CRS001,6,Python Programming - Module 6,4,Reading,Medium
MOD00007,CRS001,7,Python Programming - Module 7,6,Live Session,Hard
MOD00008,CRS001,8,Python Programming - Module 8,9,Live Session,Hard
MOD00009,CRS002,1,Data Science - Module 1,7,Video,Easy
MOD00010,CRS002,2,Data Science - Module 2,6,Project,Easy
MOD00011,CRS002,3,Data Science - Module 3,4,Quiz,Medium
MOD00012,CRS002,4,Data Science - Module 4,7,Project,Hard
MOD00013,CRS002,5,Data Science - Module 5,4,Reading,Easy
MOD00014,CRS002,6,Data Science - Module 6,10,Reading,Easy
MOD00015,CRS002,7,Data Science - Module 7,6,Reading,Medium
MOD00016,CRS002,8,Data Science - Module 8,8,Video,Easy
MOD00017,CRS003,1,Machine Learning - Module 1,7,Video,Hard
MOD00018,CRS003,2,Machine Learning - Module 2,10,Reading,Medium
MOD00019,CRS003,3,Machine Learning - Module 3,5,Reading,Hard
MOD00020,CRS003,4,Machine Learning - Module 4,3,Live Session,Medium
MOD00021,CRS003,5,Machine Learning - Module 5,10,Project,Easy
MOD00022,CRS003,6,Machine Learning - Module 6,8,Video,Hard
MOD00023,CRS003,7,Machine Learning - Module 7,7,Video,Medium
MOD00024,CRS003,8,Machine Learning - Module 8,10,Quiz,Medium
MOD00025,CRS004,1,Web Development - Module 1,10,Project,Medium
MOD00026,CRS004,2,Web Development - Module 2,5,Live Session,Easy
MOD00027,CRS004,3,Web Development - Module 3,2,Reading,Hard
MOD00028,CRS004,4,Web Development - Module 4,2,Live Session,Hard
MOD00029,CRS004,5,Web Development - Module 5,3,Quiz,Easy
MOD00030,CRS004,6,Web Development - Module 6,8,Quiz,Medium
MOD00031,CRS004,7,Web Development - Module 7,8,Quiz,Easy
MOD00032,CRS004,8,Web Development - Module 8,6,Live Session,Medium
MOD00033,CRS005,1,Mobile App Development - Module 1,3,Live Session,Easy
MOD00034,CRS005,2,Mobile App Development - Module 2,9,Quiz,Medium
MOD00035,CRS005,3,Mobile App Development - Module 3,5,Video,Medium
MOD00036,CRS005,4,Mobile App Development - Module 4,3,Quiz,Hard
MOD00037,CRS005,5,Mobile App Development - Module 5,3,Project,Medium
MOD00038,CRS005,6,Mobile App Development - Module 6,9,Video,Medium
MOD00039,CRS005,7,Mobile App Development - Module 7,9,Quiz,Hard
MOD00040,CRS005,8,Mobile App Development - Module 8,8,Quiz,Medium
MOD00041,CRS006,1,Cloud Computing - Module 1,4,Reading,Medium
MOD00042,CRS006,2,Cloud Computing - Module 2,8,Video,Hard
MOD00043,CRS006,3,Cloud Computing - Module 3,3,Project,Medium
MOD00044,CRS006,4,Cloud Computing - Module 4,3,Quiz,Medium
MOD00045,CRS006,5,Cloud Computing - Module 5,2,Reading,Medium
MOD00046,CRS006,6,Cloud Computing - Module 6,6,Video,Medium
MOD00047,CRS006,7,Cloud Computing - Module 7,10,Project,Easy
MOD00048,CRS006,8,Cloud Computing - Module 8,3,Video,Medium
MOD00049,CRS007,1,Cybersecurity - Module 1,4,Quiz,Medium
MOD00050,CRS007,2,Cybersecurity - Module 2,10,Live Session,Easy
MOD00051,CRS007,3,Cybersecurity - Module 3,6,Project,Medium
MOD00052,CRS007,4,Cybersecurity - Module 4,5,Quiz,Medium
MOD00053,CRS007,5,Cybersecurity - Module 5,3,Live Session,Hard
MOD00054,CRS007,6,Cybersecurity - Module 6,4,Quiz,Easy
MOD00055,CRS007,7,Cybersecurity - Module 7,2,Video,Hard
MOD00056,CRS007,8,Cybersecurity - Module 8,4,Video,Easy
MOD00057,CRS008,1,DevOps - Module 1,10,Live Session,Hard
MOD00058,CRS008,2,DevOps - Module 2,7,Quiz,Hard
MOD00059,CRS008,3,DevOps - Module 3,6,Live Session,Easy
MOD00060,CRS008,4,DevOps - Module 4,9,Reading,Medium
MOD00061,CRS008,5,DevOps - Module 5,9,Reading,Easy
MOD00062,CRS008,6,DevOps - Module 6,4,Live Session,Easy
MOD00063,CRS008,7,DevOps - Module 7,6,Video,Medium
MOD00064,CRS008,8,DevOps - Module 8,9,Reading,Easy
MOD00065,CRS009,1,Artificial Intelligence - Module 1,3,Project,Medium
MOD00066,CRS009,2,Artificial Intelligence - Module 2,7,Project,Easy
MOD00067,CRS009,3,Artificial Intelligence - Module 3,4,Project,Medium
MOD00068,CRS009,4,Artificial Intelligence - Module 4,3,Quiz,Easy
MOD00069,CRS009,5,Artificial Intelligence - Module 5,8,Reading,Easy
MOD00070,CRS009,6,Artificial Intelligence - Module 6,8,Reading,Easy
MOD00071,CRS009,7,Artificial Intelligence - Module 7,9,Live Session,Medium
MOD00072,CRS009,8,Artificial Intelligence - Module 8,6,Live Session,Hard
MOD00073,CRS010,1,Blockchain - Module 1,9,Video,Medium
MOD00074,CRS010,2,Blockchain - Module 2,5,Live Session,Medium
MOD00075,CRS010,3,Blockchain - Module 3,8,Video,Hard
MOD00076,CRS010,4,Blockchain - Module 4,2,Live Session,Hard
MOD00077,CRS010,5,Blockchain - Module 5,8,Project,Hard
MOD00078,CRS010,6,Blockchain - Module 6,2,Video,Easy
MOD00079,CRS010,7,Blockchain - Module 7,3,Reading,Easy
MOD00080,CRS010,8,Blockchain - Module 8,2,Reading,Medium
MOD00081,CRS011,1,Digital Marketing - Module 1,2,Reading,Medium
MOD00082,CRS011,2,Digital Marketing - Module 2,9,Quiz,Easy
MOD00083,CRS011,3,Digital Marketing - Module 3,2,Live Session,Hard
MOD00084,CRS011,4,Digital Marketing - Module 4,3,Live Session,Hard
MOD00085,CRS011,5,Digital Marketing - Module 5,5,Live Session,Easy
MOD00086,CRS011,6,Digital Marketing - Module 6,3,Quiz,Medium
MOD00087,CRS011,7,Digital Marketing - Module 7,2,Quiz,Medium
MOD00088,CRS011,8,Digital Marketing - Module 8,4,Project,Hard
MOD00089,CRS012,1,UI/UX Design - Module 1,7,Live Session,Medium
MOD00090,CRS012,2,UI/UX Design - Module 2,3,Live Session,Medium
MOD00091,CRS012,3,UI/UX Design - Module 3,7,Reading,Hard
MOD00092,CRS012,4,UI/UX Design - Module 4,10,Live Session,Medium
MOD00093,CRS012,5,UI/UX Design - Module 5,6,Project,Medium
MOD00094,CRS012,6,UI/UX Design - Module 6,2,Live Session,Medium
MOD00095,CRS012,7,UI/UX Design - Module 7,3,Quiz,Hard
MOD00096,CRS012,8,UI/UX Design - Module 8,8,Reading,Easy
