progress_id,student_id,module_id,course_id,start_date,completion_date,completion_status,time_spent_hours,progress_percentage
PRG0000001,STU00001,MOD00057,CRS008,2025-08-12,2025-09-16,Completed,2.99,96
PRG0000002,STU00001,MOD00058,CRS008,2025-07-16,2025-07-25,Completed,3.78,95
PRG0000003,STU00001,MOD00059,CRS008,2025-07-28,2025-09-30,Completed,4.08,44
PRG0000004,STU00001,MOD00060,CRS008,2025-07-24,2025-09-01,Completed,4.76,13
PRG0000005,STU00001,MOD00061,CRS008,2025-08-11,2025-10-13,Not Started,11.92,47
PRG0000006,STU00001,MOD00062,CRS008,2025-07-17,2025-07-17,Completed,3.89,93
PRG0000007,STU00001,MOD00063,CRS008,2025-08-06,2025-07-25,In Progress,3.52,77
PRG0000008,STU00001,MOD00064,CRS008,2025-07-28,2025-08-23,Completed,7.96,32
PRG0000009,STU00001,MOD00017,CRS003,2025-06-07,2025-07-24,Completed,5.49,36
PRG0000010,STU00001,MOD00018,CRS003,2025-05-21,2025-05-18,Completed,10.25,32
PRG0000011,STU00001,MOD00019,CRS003,2025-06-12,2025-07-25,In Progress,6.71,56
PRG0000012,STU00001,MOD00020,CRS003,2025-06-04,2025-07-11,Completed,2.09,10
PRG0000013,STU00001,MOD00021,CRS003,2025-06-10,2025-06-03,Completed,13.17,55
PRG0000014,STU00001,MOD00022,CRS003,2025-05-29,2025-06-12,Not Started,10.6,80
PRG0000015,STU00001,MOD00023,CRS003,2025-06-01,2025-06-05,In Progress,8.19,66
PRG0000016,STU00001,MOD00024,CRS003,2025-05-15,2025-08-13,Completed,6.7,79
PRG0000017,STU00001,MOD00077,CRS010,2025-06-02,2025-06-30,Completed,6.46,71
PRG0000018,STU00001,MOD00078,CRS010,2025-05-22,2025-05-31,In Progress,1.98,36
PRG0000019,STU00001,MOD00079,CRS010,2025-05-19,2025-07-18,In Progress,4.43,12
PRG0000020,STU00001,MOD00033,CRS005,2026-04-16,2026-04-07,In Progress,3.19,22
PRG0000021,STU00001,MOD00034,CRS005,2026-03-26,2026-06-01,Completed,4.77,53
PRG0000022,STU00001,MOD00035,CRS005,2026-04-15,2026-05-29,Completed,4.4,42
PRG0000023,STU00001,MOD00036,CRS005,2026-04-11,2026-06-01,In Progress,2.85,96
PRG0000024,STU00001,MOD00037,CRS005,2026-04-16,2026-04-30,Completed,3.43,22
PRG0000025,STU00001,MOD00038,CRS005,2026-03-31,2026-06-12,Completed,10.35,20
PRG0000026,STU00001,MOD00039,CRS005,2026-03-30,2026-05-15,In Progress,13.05,57
PRG0000027,STU00001,MOD00040,CRS005,2026-03-29,2026-04-27,In Progress,10.98,19
PRG0000028,STU00002,MOD00025,CRS004,2025-11-14,2025-12-19,Completed,2.85,86
PRG0000029,STU00002,MOD00026,CRS004,2025-11-28,2025-12-13,Completed,2.05,59
PRG0000030,STU00002,MOD00029,CRS004,2025-12-08,2025-11-27,Completed,3.54,92
PRG0000031,STU00002,MOD00030,CRS004,2025-11-12,2025-12-17,Not Started,7.08,70
PRG0000032,STU00002,MOD00031,CRS004,2025-12-05,2025-11-15,Completed,10.85,98
PRG0000033,STU00002,MOD00032,CRS004,2025-11-26,2025-11-27,Completed,5.93,8
PRG0000034,STU00002,MOD00033,CRS005,2025-05-26,2025-06-02,In Progress,3.41,88
PRG0000035,STU00002,MOD00034,CRS005,2025-05-29,2025-07-09,In Progress,7.27,37
PRG0000036,STU00002,MOD00035,CRS005,2025-05-27,2025-07-04,Completed,6.4,19
PRG0000037,STU00002,MOD00036,CRS005,2025-05-26,2025-07-07,Not Started,2.41,77
PRG0000038,STU00002,MOD00037,CRS005,2025-06-03,2025-07-28,Completed,1.81,37
PRG0000039,STU00002,MOD00038,CRS005,2025-06-03,2025-05-20,Completed,9.98,52
PRG0000040,STU00002,MOD00039,CRS005,2025-06-05,2025-06-28,In Progress,11.55,46
PRG0000041,STU00002,MOD00040,CRS005,2025-06-07,2025-06-13,Completed,11.3,51
PRG0000042,STU00003,MOD00026,CRS004,2025-12-24,2026-01-26,Completed,7.13,29
PRG0000043,STU00003,MOD00028,CRS004,2025-11-24,2026-01-25,Completed,1.32,66
PRG0000044,STU00003,MOD00029,CRS004,2025-11-27,2025-12-10,Completed,2.16,0
PRG0000045,STU00003,MOD00030,CRS004,2025-12-14,2026-02-01,Completed,5.03,88
PRG0000046,STU00003,MOD00031,CRS004,2025-12-06,2026-01-14,Completed,2.17,55
PRG0000047,STU00003,MOD00032,CRS004,2025-12-13,2026-02-03,In Progress,8.1,82
PRG0000048,STU00003,MOD00089,CRS012,2025-12-21,2025-12-26,Completed,5.2,4
PRG0000049,STU00003,MOD00090,CRS012,2025-11-26,2026-01-04,Completed,2.4,22
PRG0000050,STU00003,MOD00091,CRS012,2025-12-20,2026-02-16,In Progress,2.36,7
PRG0000051,STU00003,MOD00092,CRS012,2025-11-25,2026-01-04,Completed,9.4,34
PRG0000052,STU00003,MOD00093,CRS012,2025-11-27,2026-02-21,Not Started,1.51,37
PRG0000053,STU00003,MOD00094,CRS012,2025-12-17,2026-02-02,Completed,1.54,62
PRG0000054,STU00003,MOD00095,CRS012,2025-12-22,2026-01-05,Completed,2.21,98
PRG0000055,STU00003,MOD00096,CRS012,2025-12-01,2026-01-23,Completed,11.48,10
PRG0000056,STU00003,MOD00113,CRS015,2025-12-10,2026-02-02,Not Started,9.08,20
PRG0000057,STU00003,MOD00114,CRS015,2025-12-21,2026-01-04,In Progress,1.43,47
PRG0000058,STU00003,MOD00115,CRS015,2025-11-29,2025-12-12,Completed,2.28,73
PRG0000059,STU00003,MOD00116,CRS015,2025-12-17,2025-12-08,Completed,6.65,60
PRG0000060,STU00003,MOD00117,CRS015,2025-11-27,2025-12-31,In Progress,3.41,14
PRG0000061,STU00003,MOD00118,CRS015,2025-11-24,2025-12-15,Completed,2.87,89
PRG0000062,STU00003,MOD00119,CRS015,2025-11-28,2026-02-15,Not Started,6.51,91
PRG0000063,STU00003,MOD00120,CRS015,2025-12-10,2026-01-17,Completed,5.29,47
PRG0000064,STU00003,MOD00049,CRS007,2025-12-08,2026-02-20,Not Started,5.65,63
PRG0000065,STU00003,MOD00050,CRS007,2025-12-02,2025-12-19,Not Started,7.35,22
PRG0000066,STU00003,MOD00051,CRS007,2025-12-16,2026-01-04,Not Started,1.51,84
PRG0000067,STU00003,MOD00052,CRS007,2025-12-23,2026-01-05,In Progress,1.63,10
PRG0000068,STU00003,MOD00053,CRS007,2025-11-27,2026-02-21,Not Started,3.04,56
PRG0000069,STU00003,MOD00054,CRS007,2025-11-30,2026-01-14,Completed,2.36,95
PRG0000070,STU00003,MOD00055,CRS007,2025-12-14,2026-01-31,Completed,2.96,35
PRG0000071,STU00003,MOD00056,CRS007,2025-12-06,2026-01-06,Completed,5.27,36
PRG0000072,STU00003,MOD00036,CRS005,2025-11-30,2026-02-11,Completed,4.03,79
PRG0000073,STU00003,MOD00037,CRS005,2025-12-20,2026-01-10,Completed,1.97,67
PRG0000074,STU00003,MOD00039,CRS005,2025-12-15,2026-02-15,Completed,5.32,98
PRG0000075,STU00003,MOD00040,CRS005,2025-12-07,2026-01-07,Not Started,5.36,30
PRG0000076,STU00004,MOD00155,CRS020,2025-11-21,2025-12-14,Completed,2.35,50
PRG0000077,STU00005,MOD00065,CRS009,2025-11-24,2025-12-10,In Progress,1.92,50
PRG0000078,STU00005,MOD00066,CRS009,2025-11-27,2025-12-21,Completed,4.0,85
PRG0000079,STU00005,MOD00067,CRS009,2025-11-01,2025-12-05,Completed,5.74,97
PRG0000080,STU00005,MOD00068,CRS009,2025-11-02,2026-01-25,Completed,2.0,38
PRG0000081,STU00005,MOD00069,CRS009,2025-11-12,2025-12-22,Completed,4.23,68
PRG0000082,STU00005,MOD00070,CRS009,2025-11-15,2025-11-26,Not Started,1.06,23
PRG0000083,STU00005,MOD00071,CRS009,2025-11-02,2026-01-18,In Progress,8.09,80
PRG0000084,STU00005,MOD00072,CRS009,2025-11-12,2025-11-21,Completed,4.8,43
PRG0000085,STU00005,MOD00041,CRS006,2026-02-05,2026-01-27,Completed,3.86,82
PRG0000086,STU00005,MOD00042,CRS006,2026-01-27,2026-04-07,Completed,4.82,64
PRG0000087,STU00005,MOD00043,CRS006,2026-02-14,2026-01-28,In Progress,1.4,21
PRG0000088,STU00005,MOD00044,CRS006,2026-01-27,2026-04-16,In Progress,4.25,29
PRG0000089,STU00005,MOD00045,CRS006,2026-02-11,2026-03-29,Completed,2.51,6
PRG0000090,STU00005,MOD00097,CRS013,2025-10-28,2025-12-08,Completed,9.43,86
PRG0000091,STU00005,MOD00098,CRS013,2025-10-09,2025-11-29,In Progress,6.32,30
PRG0000092,STU00005,MOD00099,CRS013,2025-09-30,2025-12-15,In Progress,1.08,18
PRG0000093,STU00005,MOD00100,CRS013,2025-10-15,2025-10-23,In Progress,1.07,50
PRG0000094,STU00005,MOD00101,CRS013,2025-10-01,2025-10-12,Completed,3.71,92
PRG0000095,STU00005,MOD00102,CRS013,2025-10-06,2025-10-10,Not Started,5.51,30
PRG0000096,STU00005,MOD00103,CRS013,2025-10-12,2025-11-15,In Progress,5.69,54
PRG0000097,STU00005,MOD00104,CRS013,2025-10-18,2025-10-18,Completed,14.96,33
PRG0000098,STU00005,MOD00073,CRS010,2025-10-16,2025-12-08,Completed,11.45,3
PRG0000099,STU00005,MOD00074,CRS010,2025-10-04,2025-10-30,Completed,5.32,52
PRG0000100,STU00005,MOD00075,CRS010,2025-10-13,2025-12-16,Completed,3.99,21
PRG0000101,STU00005,MOD00076,CRS010,2025-10-12,2025-10-09,Completed,1.2,25
PRG0000102,STU00005,MOD00077,CRS010,2025-10-18,2025-12-04,Completed,2.3,20
PRG0000103,STU00005,MOD00078,CRS010,2025-10-27,2025-11-25,Completed,1.47,58
PRG0000104,STU00005,MOD00079,CRS010,2025-10-01,2025-12-19,Completed,1.69,94
PRG0000105,STU00005,MOD00080,CRS010,2025-10-07,2025-12-02,Not Started,1.9,25
PRG0000106,STU00005,MOD00090,CRS012,2025-12-19,2025-12-27,Completed,4.19,83
PRG0000107,STU00005,MOD00091,CRS012,2025-12-04,2025-12-29,In Progress,6.94,47
PRG0000108,STU00005,MOD00092,CRS012,2025-12-06,2026-01-19,In Progress,7.08,89
PRG0000109,STU00005,MOD00094,CRS012,2025-12-30,2025-12-08,In Progress,1.93,35
PRG0000110,STU00005,MOD00096,CRS012,2025-12-29,2025-12-26,Completed,4.07,10
PRG0000111,STU00006,MOD00001,CRS001,2025-11-21,2026-02-01,In Progress,4.76,32
PRG0000112,STU00006,MOD00002,CRS001,2025-11-17,2026-01-22,In Progress,8.27,10
PRG0000113,STU00006,MOD00003,CRS001,2025-11-12,2025-12-12,Completed,2.94,33
PRG0000114,STU00006,MOD00004,CRS001,2025-11-19,2025-11-21,Completed,4.95,65
PRG0000115,STU00006,MOD00005,CRS001,2025-12-02,2025-12-17,Completed,4.26,71
PRG0000116,STU00006,MOD00006,CRS001,2025-11-12,2026-01-13,Completed,1.38,1
PRG0000117,STU00006,MOD00007,CRS001,2025-11-21,2025-12-17,In Progress,4.12,41
PRG0000118,STU00006,MOD00008,CRS001,2025-12-01,2025-11-13,Completed,5.35,67
PRG0000119,STU00006,MOD00121,CRS016,2026-02-25,2026-05-19,Completed,11.03,50
PRG0000120,STU00006,MOD00122,CRS016,2026-03-06,2026-04-23,Completed,1.43,11
PRG0000121,STU00006,MOD00123,CRS016,2026-03-15,2026-04-10,Completed,2.26,52
PRG0000122,STU00006,MOD00124,CRS016,2026-03-20,2026-03-25,Completed,6.57,98
PRG0000123,STU00006,MOD00125,CRS016,2026-03-10,2026-04-17,Completed,3.38,5
PRG0000124,STU00006,MOD00126,CRS016,2026-03-13,2026-04-27,Completed,6.37,94
PRG0000125,STU00006,MOD00127,CRS016,2026-03-11,2026-05-14,Completed,3.85,31
PRG0000126,STU00006,MOD00128,CRS016,2026-02-20,2026-03-12,Not Started,9.69,0
PRG0000127,STU00006,MOD00027,CRS004,2025-12-21,2026-01-26,Completed,2.23,94
PRG0000128,STU00006,MOD00129,CRS017,2025-05-27,2025-07-06,Completed,6.17,68
PRG0000129,STU00006,MOD00131,CRS017,2025-05-25,2025-05-27,Completed,2.54,70
PRG0000130,STU00006,MOD00136,CRS017,2025-05-28,2025-06-23,Completed,1.9,16
PRG0000131,STU00007,MOD00033,CRS005,2025-07-13,2025-09-21,In Progress,1.59,48
PRG0000132,STU00007,MOD00035,CRS005,2025-07-23,2025-09-22,Completed,5.86,37
PRG0000133,STU00007,MOD00137,CRS018,2026-01-22,2026-01-11,Completed,1.63,64
PRG0000134,STU00007,MOD00138,CRS018,2026-01-12,2026-02-09,Completed,1.92,81
PRG0000135,STU00007,MOD00139,CRS018,2025-12-26,2026-03-21,Completed,2.65,72
PRG0000136,STU00007,MOD00140,CRS018,2026-01-09,2026-02-08,Completed,2.07,72
PRG0000137,STU00007,MOD00141,CRS018,2025-12-24,2026-01-18,Completed,10.33,13
PRG0000138,STU00007,MOD00142,CRS018,2026-01-21,2026-02-26,Completed,11.94,91
PRG0000139,STU00007,MOD00143,CRS018,2026-01-20,2026-01-28,Completed,6.02,81
PRG0000140,STU00007,MOD00144,CRS018,2026-01-05,2026-01-01,In Progress,8.6,7
PRG0000141,STU00007,MOD00084,CRS011,2025-06-09,2025-07-29,Completed,4.47,53
PRG0000142,STU00007,MOD00086,CRS011,2025-06-13,2025-07-28,Completed,2.63,50
PRG0000143,STU00007,MOD00087,CRS011,2025-06-16,2025-06-29,In Progress,2.57,71
PRG0000144,STU00007,MOD00088,CRS011,2025-07-02,2025-09-06,Completed,3.31,5
PRG0000145,STU00008,MOD00001,CRS001,2026-03-26,2026-05-24,Completed,10.64,55
PRG0000146,STU00008,MOD00002,CRS001,2026-04-21,2026-04-05,Completed,11.15,12
PRG0000147,STU00008,MOD00003,CRS001,2026-04-20,2026-05-30,Completed,4.39,82
PRG0000148,STU00008,MOD00004,CRS001,2026-04-02,2026-06-04,Completed,2.32,36
PRG0000149,STU00008,MOD00005,CRS001,2026-04-20,2026-05-19,In Progress,1.94,32
PRG0000150,STU00008,MOD00006,CRS001,2026-04-09,2026-05-11,Completed,4.99,82
PRG0000151,STU00008,MOD00007,CRS001,2026-03-25,2026-06-18,In Progress,7.9,60
PRG0000152,STU00008,MOD00008,CRS001,2026-03-28,2026-03-31,Completed,7.29,67
PRG0000153,STU00008,MOD00145,CRS019,2026-02-23,2026-04-18,Not Started,3.34,69
PRG0000154,STU00008,MOD00146,CRS019,2026-03-07,2026-05-03,Completed,5.97,64
PRG0000155,STU00008,MOD00147,CRS019,2026-03-02,2026-04-03,Completed,2.07,93
PRG0000156,STU00008,MOD00148,CRS019,2026-02-27,2026-03-28,In Progress,11.29,88
PRG0000157,STU00008,MOD00149,CRS019,2026-02-20,2026-05-20,Completed,2.41,57
PRG0000158,STU00008,MOD00150,CRS019,2026-03-14,2026-03-26,In Progress,4.11,91
PRG0000159,STU00008,MOD00151,CRS019,2026-02-19,2026-05-07,Completed,7.24,85
PRG0000160,STU00008,MOD00152,CRS019,2026-03-20,2026-04-12,Completed,2.82,94
PRG0000161,STU00008,MOD00113,CRS015,2025-11-07,2025-11-16,Completed,7.83,56
PRG0000162,STU00008,MOD00114,CRS015,2025-11-04,2025-10-21,Completed,2.62,65
PRG0000163,STU00008,MOD00115,CRS015,2025-10-15,2025-11-07,Not Started,1.77,68
PRG0000164,STU00008,MOD00116,CRS015,2025-10-15,2025-11-09,Completed,4.67,14
PRG0000165,STU00008,MOD00117,CRS015,2025-10-28,2025-11-29,Completed,2.34,58
PRG0000166,STU00008,MOD00118,CRS015,2025-10-12,2025-12-09,In Progress,7.95,100
PRG0000167,STU00008,MOD00119,CRS015,2025-11-05,2025-10-18,Completed,1.77,31
PRG0000168,STU00008,MOD00120,CRS015,2025-10-21,2025-10-27,In Progress,2.6,72
PRG0000169,STU00008,MOD00027,CRS004,2026-04-15,2026-06-14,In Progress,2.54,24
PRG0000170,STU00008,MOD00028,CRS004,2026-04-09,2026-06-18,In Progress,1.12,68
PRG0000171,STU00008,MOD00029,CRS004,2026-04-20,2026-05-31,Completed,2.99,57
PRG0000172,STU00008,MOD00030,CRS004,2026-04-24,2026-07-05,Completed,11.16,11
PRG0000173,STU00008,MOD00031,CRS004,2026-05-03,2026-04-12,In Progress,3.67,60
PRG0000174,STU00008,MOD00032,CRS004,2026-04-07,2026-06-23,Completed,1.92,93
PRG0000175,STU00009,MOD00049,CRS007,2025-10-23,2025-11-10,In Progress,4.7,26
PRG0000176,STU00009,MOD00050,CRS007,2025-10-30,2025-12-19,Completed,6.15,63
PRG0000177,STU00009,MOD00051,CRS007,2025-11-05,2025-12-25,Not Started,8.09,2
PRG0000178,STU00009,MOD00052,CRS007,2025-10-20,2025-11-25,Completed,4.82,10
PRG0000179,STU00009,MOD00053,CRS007,2025-11-07,2025-10-30,Completed,1.33,19
PRG0000180,STU00009,MOD00054,CRS007,2025-11-11,2025-11-17,Completed,1.74,85
PRG0000181,STU00009,MOD00055,CRS007,2025-11-15,2025-10-30,Completed,1.13,0
PRG0000182,STU00009,MOD00056,CRS007,2025-10-29,2025-12-26,Completed,5.48,98
PRG0000183,STU00009,MOD00065,CRS009,2025-07-20,2025-08-06,Completed,4.04,54
PRG0000184,STU00009,MOD00066,CRS009,2025-08-01,2025-07-28,Not Started,4.49,47
PRG0000185,STU00009,MOD00067,CRS009,2025-07-18,2025-08-21,Not Started,5.98,56
PRG0000186,STU00009,MOD00068,CRS009,2025-08-13,2025-08-31,Completed,3.95,6
PRG0000187,STU00009,MOD00069,CRS009,2025-08-01,2025-08-05,Completed,8.03,61
PRG0000188,STU00009,MOD00070,CRS009,2025-07-25,2025-07-19,In Progress,7.2,61
PRG0000189,STU00009,MOD00071,CRS009,2025-08-02,2025-07-29,In Progress,9.71,91
PRG0000190,STU00009,MOD00072,CRS009,2025-07-24,2025-08-29,Completed,6.13,99
PRG0000191,STU00009,MOD00057,CRS008,2026-02-13,2026-04-24,Completed,4.78,69
PRG0000192,STU00009,MOD00058,CRS008,2026-02-18,2026-03-09,Completed,6.65,40
PRG0000193,STU00009,MOD00059,CRS008,2026-02-21,2026-02-17,In Progress,4.68,9
PRG0000194,STU00009,MOD00061,CRS008,2026-01-27,2026-03-23,Completed,7.26,70
PRG0000195,STU00009,MOD00062,CRS008,2026-02-17,2026-03-11,Completed,2.1,25
PRG0000196,STU00009,MOD00063,CRS008,2026-02-04,2026-04-10,Completed,3.81,85
PRG0000197,STU00009,MOD00064,CRS008,2026-02-02,2026-01-30,Completed,1.78,98
PRG0000198,STU00009,MOD00081,CRS011,2026-02-02,2026-03-31,Not Started,1.93,40
PRG0000199,STU00009,MOD00082,CRS011,2026-01-27,2026-04-13,Completed,9.39,71
PRG0000200,STU00009,MOD00083,CRS011,2026-02-03,2026-02-15,Completed,2.61,32
PRG0000201,STU00009,MOD00084,CRS011,2026-01-18,2026-04-10,Completed,3.85,30
PRG0000202,STU00009,MOD00085,CRS011,2026-02-17,2026-03-19,Completed,2.42,72
PRG0000203,STU00009,MOD00086,CRS011,2026-02-05,2026-03-03,In Progress,1.96,18
PRG0000204,STU00009,MOD00087,CRS011,2026-01-27,2026-02-25,Completed,1.08,8
PRG0000205,STU00009,MOD00088,CRS011,2026-01-22,2026-03-06,Completed,5.27,93
PRG0000206,STU00009,MOD00073,CRS010,2025-07-01,2025-07-03,Completed,2.38,52
PRG0000207,STU00009,MOD00074,CRS010,2025-06-21,2025-07-14,In Progress,6.31,73
PRG0000208,STU00009,MOD00075,CRS010,2025-07-05,2025-06-28,Completed,6.32,64
PRG0000209,STU00009,MOD00076,CRS010,2025-06-17,2025-06-27,Completed,1.77,54
PRG0000210,STU00009,MOD00077,CRS010,2025-06-17,2025-08-10,In Progress,8.93,25
PRG0000211,STU00009,MOD00078,CRS010,2025-06-16,2025-08-07,Not Started,1.07,60
PRG0000212,STU00009,MOD00079,CRS010,2025-07-15,2025-07-22,Not Started,3.54,44
PRG0000213,STU00009,MOD00080,CRS010,2025-06-20,2025-07-31,Completed,1.49,92
