assessment_id,student_id,module_id,course_id,attempt_number,score,max_score,assessment_date,time_taken_minutes,passed
ASS0000001,STU00001,MOD00145,CRS019,1,81,100,2026-02-17,21,True
ASS0000002,STU00001,MOD00145,CRS019,2,30,100,2026-02-19,37,True
ASS0000003,STU00001,MOD00145,CRS019,3,70,100,2026-02-21,26,True
ASS0000004,STU00002,MOD00002,CRS001,1,58,100,2025-09-01,59,False
ASS0000005,STU00002,MOD00002,CRS001,2,32,100,2025-09-02,11,False
ASS0000006,STU00002,MOD00002,CRS001,3,59,100,2025-09-02,15,False
ASS0000007,STU00002,MOD00006,CRS001,1,51,100,2025-11-18,20,True
ASS0000008,STU00002,MOD00007,CRS001,1,55,100,2025-10-02,15,True
ASS0000009,STU00002,MOD00007,CRS001,2,85,100,2025-10-05,42,True
ASS0000010,STU00002,MOD00065,CRS009,1,82,100,2026-02-27,60,True
ASS0000011,STU00002,MOD00065,CRS009,2,49,100,2026-02-25,49,True
ASS0000012,STU00002,MOD00065,CRS009,3,87,100,2026-03-02,35,False
ASS0000013,STU00002,MOD00068,CRS009,1,74,100,2026-04-14,59,True
ASS0000014,STU00002,MOD00068,CRS009,2,72,100,2026-04-17,19,True
ASS0000015,STU00002,MOD00069,CRS009,1,78,100,2026-02-23,58,True
ASS0000016,STU00002,MOD00069,CRS009,2,52,100,2026-02-25,58,False
ASS0000017,STU00002,MOD00069,CRS009,3,59,100,2026-02-24,46,False
ASS0000018,STU00002,MOD00070,CRS009,1,42,100,2026-04-23,22,True
ASS0000019,STU00002,MOD00070,CRS009,2,70,100,2026-04-21,20,True
ASS0000020,STU00002,MOD00072,CRS009,1,87,100,2026-04-21,35,True
ASS0000021,STU00003,MOD00075,CRS010,1,88,100,2025-09-09,34,True
ASS0000022,STU00003,MOD00075,CRS010,2,68,100,2025-09-08,48,True
ASS0000023,STU00003,MOD00076,CRS010,1,63,100,2025-10-12,11,False
ASS0000024,STU00003,MOD00079,CRS010,1,33,100,2025-10-20,53,False
ASS0000025,STU00003,MOD00079,CRS010,2,37,100,2025-10-20,39,True
ASS0000026,STU00003,MOD00079,CRS010,3,68,100,2025-10-21,35,False
ASS0000027,STU00003,MOD00080,CRS010,1,44,100,2025-10-12,45,True
ASS0000028,STU00003,MOD00080,CRS010,2,46,100,2025-10-10,17,True
ASS0000029,STU00003,MOD00080,CRS010,3,97,100,2025-10-12,10,True
