enrollment_id,student_id,course_id,enrollment_date,status
ENR000001,STU00001,CRS019,2025-12-26,Dropped
ENR000002,STU00002,CRS001,2025-08-28,Completed
ENR000003,STU00002,CRS009,2026-02-20,Completed
ENR000004,STU00003,CRS010,2025-07-25,Active
ENR000005,STU00003,CRS005,2025-06-18,Completed
ENR000006,STU00003,CRS007,2025-05-31,Active
ENR000007,STU00003,CRS011,2025-11-10,Completed
ENR000008,STU00004,CRS009,2025-11-25,Completed
ENR000009,STU00004,CRS016,2025-11-25,Completed
ENR000010,STU00004,CRS019,2025-11-25,Active
ENR000011,STU00005,CRS018,2026-01-21,Active
ENR000012,STU00005,CRS016,2026-01-21,Dropped
ENR000013,STU00006,CRS017,2025-08-31,Active
ENR000014,STU00007,CRS002,2025-06-06,Completed
ENR000015,STU00008,CRS005,2026-03-31,Active
ENR000016,STU00008,CRS008,2025-12-05,Completed
ENR000017,STU00008,CRS003,2026-02-02,Active
ENR000018,STU00008,CRS020,2025-12-05,Completed
ENR000019,STU00009,CRS016,2025-10-13,Active
ENR000020,STU00009,CRS020,2026-04-13,Completed
ENR000021,STU00009,CRS001,2026-02-18,Active
ENR000022,STU00009,CRS018,2025-10-20,Dropped
ENR000023,STU00009,CRS014,2026-01-02,Active
ENR000024,STU00010,CRS006,2026-04-13,Active
ENR000025,STU00010,CRS004,2026-04-13,Active
ENR000026,STU00010,CRS019,2026-04-13,Completed
ENR000027,STU00010,CRS017,2026-04-13,Dropped
ENR000028,STU00011,CRS013,2025-09-06,Dropped
ENR000029,STU00011,CRS003,2025-12-22,Completed
ENR000030,STU00011,CRS012,2025-06-23,Active
ENR000031,STU00012,CRS010,2026-02-05,Completed
ENR000032,STU00012,CRS003,2025-10-05,Dropped
ENR000033,STU00013,CRS003,2025-11-30,Completed
ENR000034,STU00014,CRS018,2025-09-25,Completed
ENR000035,STU00014,CRS016,2025-08-14,Active
ENR000036,STU00014,CRS002,2025-08-24,Dropped
ENR000037,STU00014,CRS001,2025-11-05,Completed
ENR000038,STU00015,CRS019,2026-03-21,Dropped
ENR000039,STU00015,CRS004,2025-07-17,Active
ENR000040,STU00015,CRS017,2025-04-21,Dropped
ENR000041,STU00016,CRS016,2025-05-28,Dropped
ENR000042,STU00016,CRS009,2026-02-25,Completed
ENR000043,STU00016,CRS002,2026-04-01,Active
ENR000044,STU00016,CRS003,2025-06-25,Dropped
ENR000045,STU00016,CRS019,2025-11-10,Active
ENR000046,STU00017,CRS019,2026-02-22,Completed
ENR000047,STU00017,CRS005,2026-02-22,Completed
ENR000048,STU00018,CRS003,2026-01-31,Completed
ENR000049,STU00018,CRS010,2026-01-31,Dropped
ENR000050,STU00018,CRS006,2026-01-31,Completed
ENR000051,STU00018,CRS008,2026-01-31,Completed
ENR000052,STU00019,CRS005,2026-01-08,Active
ENR000053,STU00019,CRS003,2026-03-05,Completed
ENR000054,STU00019,CRS017,2025-08-31,Dropped
ENR000055,STU00019,CRS012,2025-07-27,Active
ENR000056,STU00020,CRS020,2025-12-01,Completed
ENR000057,STU00020,CRS013,2025-06-06,Completed
ENR000058,STU00020,CRS011,2025-06-14,Active
ENR000059,STU00020,CRS001,2026-02-03,Completed
ENR000060,STU00020,CRS009,2025-08-15,Active
ENR000061,STU00021,CRS019,2025-12-01,Active
ENR000062,STU00021,CRS013,2025-11-09,Completed
ENR000063,STU00022,CRS003,2026-02-18,Active
ENR000064,STU00022,CRS020,2025-05-10,Active
ENR000065,STU00023,CRS013,2025-06-12,Active
ENR000066,STU00023,CRS011,2025-07-06,Active
ENR000067,STU00024,CRS015,2026-02-20,Active
ENR000068,STU00024,CRS012,2026-02-20,Active
ENR000069,STU00024,CRS009,2026-02-20,Completed
ENR000070,STU00025,CRS018,2025-12-05,Active
