module_id,course_id,module_number,module_name,duration_hours,content_type,difficulty
MOD00001,CRS001,1,Python Programming - Module 1,8,Live Session,Easy
MOD00002,CRS001,2,Python Programming - Module 2,2,Video,Easy
MOD00003,CRS001,3,Python Programming - Module 3,7,Project,Hard
MOD00004,CRS001,4,Python Programming - Module 4,9,Reading,Hard
MOD00005,CRS001,5,Python Programming - Module 5,10,Reading,Medium
MOD00006,CRS001,6,Python Programming - Module 6,7,Reading,Medium
MOD00007,CRS001,7,Python Programming - Module 7,6,Live Session,Medium
MOD00008,CRS001,8,Python Programming - Module 8,10,Live Session,Hard
MOD00009,CRS002,1,Data Science - Module 1,9,Live Session,Medium
MOD00010,CRS002,2,Data Science - Module 2,9,Video,Medium
MOD00011,CRS002,3,Data Science - Module 3,7,Video,Medium
MOD00012,CRS002,4,Data Science - Module 4,6,Video,Hard
MOD00013,CRS002,5,Data Science - Module 5,9,Quiz,Hard
MOD00014,CRS002,6,Data Science - Module 6,5,Video,Hard
MOD00015,CRS002,7,Data Science - Module 7,9,Reading,Hard
MOD00016,CRS002,8,Data Science - Module 8,8,Reading,Hard
MOD00017,CRS003,1,Machine Learning - Module 1,5,Video,Hard
MOD00018,CRS003,2,Machine Learning - Module 2,3,Reading,Easy
MOD00019,CRS003,3,Machine Learning - Module 3,9,Quiz,Medium
MOD00020,CRS003,4,Machine Learning - Module 4,4,Project,Hard
MOD00021,CRS003,5,Machine Learning - Module 5,5,Project,Hard
MOD00022,CRS003,6,Machine Learning - Module 6,9,Video,Hard
MOD00023,CRS003,7,Machine Learning - Module 7,4,Live Session,Easy
MOD00024,CRS003,8,Machine Learning - Module 8,10,Quiz,Hard
MOD00025,CRS004,1,Web Development - Module 1,9,Live Session,Medium
MOD00026,CRS004,2,Web Development - Module 2,7,Reading,Medium
MOD00027,CRS004,3,Web Development - Module 3,10,Quiz,Hard
MOD00028,CRS004,4,Web Development - Module 4,7,Quiz,Hard
MOD00029,CRS004,5,Web Development - Module 5,9,Reading,Easy
MOD00030,CRS004,6,Web Development - Module 6,6,Live Session,Medium
MOD00031,CRS004,7,Web Development - Module 7,5,Quiz,Medium
