progress_id,student_id,module_id,course_id,start_date,completion_date,completion_status,time_spent_hours,progress_percentage
PRG0000001,STU00001,MOD00145,CRS019,2026-01-24,2026-02-22,Completed,2.1,67
PRG0000002,STU00001,MOD00147,CRS019,2026-01-24,2026-03-05,In Progress,11.52,55
PRG0000003,STU00001,MOD00150,CRS019,2026-01-03,2026-01-30,In Progress,2.66,74
PRG0000004,STU00001,MOD00151,CRS019,2026-01-19,2026-03-23,In Progress,2.47,75
PRG0000005,STU00002,MOD00001,CRS001,2025-09-18,2025-11-25,Not Started,4.45,1
PRG0000006,STU00002,MOD00002,CRS001,2025-09-23,2025-09-06,Completed,1.2,13
PRG0000007,STU00002,MOD00003,CRS001,2025-09-08,2025-09-26,In Progress,3.39,4
PRG0000008,STU00002,MOD00004,CRS001,2025-08-30,2025-09-05,Not Started,9.21,27
PRG0000009,STU00002,MOD00005,CRS001,2025-09-17,2025-09-13,In Progress,2.68,77
PRG0000010,STU00002,MOD00006,CRS001,2025-09-18,2025-11-19,Completed,10.19,14
PRG0000011,STU00002,MOD00007,CRS001,2025-09-05,2025-10-05,Completed,8.49,81
PRG0000012,STU00002,MOD00008,CRS001,2025-09-05,2025-10-22,In Progress,10.35,98
PRG0000013,STU00002,MOD00065,CRS009,2026-02-25,2026-03-02,Completed,1.31,49
PRG0000014,STU00002,MOD00066,CRS009,2026-02-21,2026-03-26,Not Started,3.51,56
PRG0000015,STU00002,MOD00067,CRS009,2026-03-21,2026-03-18,In Progress,2.16,62
PRG0000016,STU00002,MOD00068,CRS009,2026-03-09,2026-04-17,Completed,8.08,56
PRG0000017,STU00002,MOD00069,CRS009,2026-02-23,2026-02-25,Completed,6.43,32
PRG0000018,STU00002,MOD00070,CRS009,2026-02-20,2026-04-25,Completed,3.24,4
PRG0000019,STU00002,MOD00071,CRS009,2026-02-28,2026-03-12,In Progress,12.31,73
PRG0000020,STU00002,MOD00072,CRS009,2026-03-14,2026-04-24,Completed,1.81,93
PRG0000021,STU00003,MOD00074,CRS010,2025-07-25,2025-09-13,Not Started,8.77,61
PRG0000022,STU00003,MOD00075,CRS010,2025-08-11,2025-09-09,Completed,1.61,7
PRG0000023,STU00003,MOD00076,CRS010,2025-08-24,2025-10-16,Completed,6.08,43
PRG0000024,STU00003,MOD00077,CRS010,2025-08-08,2025-09-01,In Progress,1.62,5
PRG0000025,STU00003,MOD00079,CRS010,2025-08-03,2025-10-23,Completed,2.49,88
PRG0000026,STU00003,MOD00080,CRS010,2025-07-27,2025-10-14,Completed,1.66,4
PRG0000027,STU00003,MOD00033,CRS005,2025-07-11,2025-09-02,Completed,5.86,69
PRG0000028,STU00003,MOD00034,CRS005,2025-07-03,2025-08-26,Not Started,7.49,2
PRG0000029,STU00003,MOD00035,CRS005,2025-06-19,2025-08-01,In Progress,1.6,15
PRG0000030,STU00003,MOD00036,CRS005,2025-07-08,2025-09-12,Completed,9.93,68
PRG0000031,STU00003,MOD00037,CRS005,2025-07-06,2025-07-18,Not Started,1.07,18
PRG0000032,STU00003,MOD00038,CRS005,2025-06-18,2025-08-18,Not Started,3.16,31
PRG0000033,STU00003,MOD00039,CRS005,2025-06-22,2025-06-20,Completed,1.4,39
PRG0000034,STU00003,MOD00040,CRS005,2025-06-21,2025-08-16,In Progress,6.43,8
PRG0000035,STU00003,MOD00049,CRS007,2025-06-15,2025-08-16,In Progress,2.1,25
PRG0000036,STU00003,MOD00050,CRS007,2025-06-25,2025-08-26,Completed,2.51,87
PRG0000037,STU00003,MOD00051,CRS007,2025-06-04,2025-07-12,In Progress,6.16,97
PRG0000038,STU00003,MOD00052,CRS007,2025-06-05,2025-07-13,Completed,3.19,96
PRG0000039,STU00003,MOD00053,CRS007,2025-06-22,2025-07-18,Completed,3.85,74
PRG0000040,STU00003,MOD00054,CRS007,2025-06-03,2025-08-20,In Progress,2.56,2
PRG0000041,STU00003,MOD00056,CRS007,2025-05-31,2025-06-23,Not Started,9.83,75
PRG0000042,STU00003,MOD00081,CRS011,2025-11-23,2026-02-07,In Progress,6.02,88
PRG0000043,STU00003,MOD00082,CRS011,2025-11-14,2026-01-31,Completed,6.63,30
PRG0000044,STU00003,MOD00083,CRS011,2025-11-29,2026-02-07,Completed,2.71,63
PRG0000045,STU00003,MOD00084,CRS011,2025-11-12,2026-01-30,In Progress,5.22,53
PRG0000046,STU00003,MOD00085,CRS011,2025-11-17,2025-12-05,Completed,4.45,12
PRG0000047,STU00003,MOD00086,CRS011,2025-12-07,2026-01-19,Completed,2.62,80
PRG0000048,STU00003,MOD00087,CRS011,2025-11-18,2025-11-17,Completed,12.15,87
PRG0000049,STU00003,MOD00088,CRS011,2025-12-09,2026-01-10,Completed,1.56,5
PRG0000050,STU00004,MOD00065,CRS009,2025-12-06,2026-01-01,Completed,2.26,78
PRG0000051,STU00004,MOD00066,CRS009,2025-12-19,2026-01-23,Completed,8.03,68
PRG0000052,STU00004,MOD00067,CRS009,2025-12-20,2025-11-29,Completed,1.75,30
PRG0000053,STU00004,MOD00068,CRS009,2025-12-13,2026-02-08,Completed,3.19,86
PRG0000054,STU00004,MOD00069,CRS009,2025-12-02,2025-12-10,Completed,1.93,94
PRG0000055,STU00004,MOD00070,CRS009,2025-12-01,2026-01-13,In Progress,1.26,74
PRG0000056,STU00004,MOD00071,CRS009,2025-12-23,2026-01-20,Completed,12.6,58
PRG0000057,STU00004,MOD00072,CRS009,2025-12-06,2025-12-13,Completed,1.39,45
PRG0000058,STU00004,MOD00121,CRS016,2025-12-01,2026-01-07,Completed,9.65,7
PRG0000059,STU00004,MOD00122,CRS016,2025-11-28,2026-01-24,Completed,1.34,43
PRG0000060,STU00004,MOD00123,CRS016,2025-12-04,2026-02-11,Completed,2.59,78
PRG0000061,STU00004,MOD00124,CRS016,2025-12-13,2026-02-04,In Progress,1.56,66
PRG0000062,STU00004,MOD00125,CRS016,2025-12-01,2026-02-09,Completed,1.93,1
PRG0000063,STU00004,MOD00126,CRS016,2025-12-18,2025-12-27,Completed,4.47,28
PRG0000064,STU00004,MOD00127,CRS016,2025-12-13,2025-12-15,Not Started,9.53,53
PRG0000065,STU00004,MOD00128,CRS016,2025-11-26,2026-01-25,In Progress,5.79,54
PRG0000066,STU00004,MOD00145,CRS019,2025-12-20,2026-02-23,In Progress,2.58,30
PRG0000067,STU00004,MOD00146,CRS019,2025-12-19,2025-11-27,In Progress,3.64,27
PRG0000068,STU00004,MOD00147,CRS019,2025-12-04,2025-12-26,In Progress,2.0,61
PRG0000069,STU00004,MOD00149,CRS019,2025-12-09,2026-02-07,In Progress,1.34,58
PRG0000070,STU00004,MOD00150,CRS019,2025-11-29,2026-01-16,Completed,6.67,80
PRG0000071,STU00004,MOD00151,CRS019,2025-12-15,2025-11-26,In Progress,1.14,88
PRG0000072,STU00004,MOD00152,CRS019,2025-11-26,2026-01-02,Completed,1.94,78
PRG0000073,STU00005,MOD00139,CRS018,2026-02-18,2026-03-05,In Progress,1.27,86
PRG0000074,STU00005,MOD00140,CRS018,2026-01-22,2026-02-05,Completed,7.51,5
PRG0000075,STU00005,MOD00141,CRS018,2026-01-26,2026-04-14,Completed,1.94,90
PRG0000076,STU00005,MOD00143,CRS018,2026-01-31,2026-02-21,Completed,5.22,94
PRG0000077,STU00005,MOD00122,CRS016,2026-02-13,2026-02-19,Completed,2.8,64
