course_id,module_id,module_name,module_number,difficulty,duration_hours,total_attempts,completed,completion_rate,avg_time_spent,avg_progress
CRS001,MOD00001,Python Programming - Module 1,1,Easy,8,56,34,60.71,6.28,49.07
CRS001,MOD00002,Python Programming - Module 2,2,Easy,2,56,33,58.93,2.07,47.13
CRS001,MOD00003,Python Programming - Module 3,3,Hard,7,52,29,55.77,5.79,53.48
CRS001,MOD00004,Python Programming - Module 4,4,Hard,9,54,31,57.41,7.46,52.5
CRS001,MOD00005,Python Programming - Module 5,5,Medium,10,55,31,56.36,7.19,54.07
CRS001,MOD00006,Python Programming - Module 6,6,Medium,7,55,30,54.55,5.92,51.16
CRS001,MOD00007,Python Programming - Module 7,7,Medium,6,59,34,57.63,4.64,50.12
CRS001,MOD00008,Python Programming - Module 8,8,Hard,10,55,35,63.64,9.02,47.16
CRS002,MOD00009,Data Science - Module 1,1,Medium,9,51,31,60.78,7.9,55.69
CRS002,MOD00010,Data Science - Module 2,2,Medium,9,54,29,53.7,7.58,51.74
CRS002,MOD00011,Data Science - Module 3,3,Medium,7,53,26,49.06,6.24,50.89
CRS002,MOD00012,Data Science - Module 4,4,Hard,6,58,32,55.17,5.26,51.84
CRS002,MOD00013,Data Science - Module 5,5,Hard,9,54,32,59.26,7.27,49.65
CRS002,MOD00014,Data Science - Module 6,6,Hard,5,56,34,60.71,4.16,51.23
CRS002,MOD00015,Data Science - Module 7,7,Hard,9,58,33,56.9,6.97,48.9
CRS002,MOD00016,Data Science - Module 8,8,Hard,8,55,32,58.18,7.16,49.53
CRS003,MOD00017,Machine Learning - Module 1,1,Hard,5,62,33,53.23,4.19,49.98
CRS003,MOD00018,Machine Learning - Module 2,2,Easy,3,71,39,54.93,2.38,51.13
CRS003,MOD00019,Machine Learning - Module 3,3,Medium,9,67,41,61.19,7.75,59.03
CRS003,MOD00020,Machine Learning - Module 4,4,Hard,4,65,36,55.38,3.68,51.88
CRS003,MOD00021,Machine Learning - Module 5,5,Hard,5,69,40,57.97,4.3,53.48
CRS003,MOD00022,Machine Learning - Module 6,6,Hard,9,64,41,64.06,7.27,48.95
CRS003,MOD00023,Machine Learning - Module 7,7,Easy,4,63,34,53.97,3.68,49.1
