student_id,course_id,early_avg_time,early_avg_progress,early_modules_attempted,early_avg_score,early_assessments_taken,risk_flag
STU00002,CRS001,9.35,68.67,3,49.67,3,true
STU00002,CRS009,4.39,30.67,3,62.0,3,true
STU00003,CRS005,3.73,18.0,3,59.33,3,true
STU00003,CRS007,6.18,58.0,3,54.67,3,true
STU00003,CRS011,5.43,31.67,3,75.33,3,true
STU00004,CRS009,1.82,82.0,3,69.0,3,true
STU00004,CRS016,5.59,34.67,3,72.33,3,true
STU00005,CRS016,3.48,65.5,2,52.67,3,true
STU00006,CRS017,5.25,38.33,3,81.0,3,true
STU00007,CRS002,7.32,15.0,3,70.33,3,true
STU00009,CRS020,7.45,14.33,3,57.33,3,true
STU00010,CRS006,5.74,12.67,3,60.33,3,true
STU00011,CRS012,4.02,15.67,3,65.5,2,true
STU00014,CRS001,4.26,29.0,3,82.0,3,true
STU00014,CRS002,9.44,38.33,3,83.33,3,true
STU00015,CRS004,5.63,50.0,3,58.0,3,true
STU00015,CRS017,7.72,31.33,3,62.67,3,true
STU00016,CRS003,3.23,62.0,1,0.0,0,true
STU00016,CRS009,6.59,43.0,3,48.0,3,true
STU00017,CRS005,3.65,38.67,3,58.33,3,true
STU00017,CRS019,6.15,36.33,3,69.0,3,true
STU00020,CRS001,6.12,37.67,3,68.0,3,true
STU00020,CRS013,6.17,39.0,3,76.67,3,true
STU00020,CRS020,5.3,18.0,3,67.67,3,true
STU00021,CRS019,2.2,75.67,3,58.0,3,true
STU00022,CRS020,8.17,27.33,3,61.0,3,true
STU00023,CRS011,3.55,34.5,2,47.0,2,true
STU00023,CRS013,3.89,67.0,3,49.67,3,true
STU00024,CRS012,7.02,64.5,2,0.0,0,true
STU00024,CRS015,8.12,35.67,3,0.0,0,true
STU00025,CRS001,4.0,63.67,3,53.0,1,true
STU00025,CRS014,5.42,20.67,3,74.33,3,true
STU00026,CRS010,2.93,62.67,3,51.33,3,true
STU00027,CRS018,7.09,37.67,3,63.67,3,true
STU00028,CRS017,5.97,31.0,2,58.5,2,true
STU00028,CRS019,4.31,34.67,3,54.67,3,true
STU00032,CRS007,4.48,36.33,3,53.67,3,true
STU00034,CRS011,5.3,59.5,2,0.0,0,true
STU00034,CRS019,2.78,31.33,3,86.33,3,true
STU00035,CRS011,4.85,81.67,3,58.0,3,true
STU00035,CRS016,5.23,26.0,2,0.0,0,true
STU00036,CRS008,7.09,34.0,3,81.33,3,true
STU00036,CRS010,5.22,12.5,2,73.67,3,true
STU00036,CRS016,4.23,12.67,3,78.67,3,true
STU00037,CRS007,3.64,65.33,3,54.33,3,true
STU00037,CRS019,5.48,21.67,3,60.33,3,true
STU00038,CRS001,7.0,11.0,2,0.0,0,true
STU00038,CRS007,2.38,94.0,1,54.5,2,true
STU00038,CRS010,6.58,14.0,3,86.67,3,true
STU00038,CRS015,4.49,69.0,3,52.67,3,true
STU00038,CRS019,3.64,29.0,3,69.33,3,true
STU00039,CRS010,5.01,27.33,3,54.5,2,true
STU00040,CRS003,4.54,45.67,3,52.33,3,true
STU00040,CRS015,4.42,31.0,3,66.0,3,true
STU00041,CRS012,7.88,34.67,3,66.33,3,true
STU00041,CRS018,6.58,55.0,3,50.33,3,true
STU00042,CRS002,3.38,38.0,3,70.67,3,true
STU00042,CRS011,8.16,19.33,3,57.33,3,true
STU00042,CRS013,2.27,90.0,3,54.33,3,true
STU00043,CRS012,9.55,38.0,3,51.33,3,true
STU00043,CRS013,5.11,9.0,2,59.67,3,true
STU00043,CRS015,6.6,48.67,3,48.67,3,true
STU00043,CRS019,1.83,54.0,3,87.0,3,true
STU00044,CRS010,6.07,71.33,3,50.33,3,true
STU00046,CRS012,9.07,26.0,3,62.67,3,true
STU00047,CRS012,7.75,31.0,3,65.0,3,true
STU00047,CRS015,4.73,33.0,3,67.33,3,true
STU00047,CRS020,5.63,49.67,3,51.67,3,true
STU00048,CRS011,5.23,30.67,3,85.33,3,true
STU00050,CRS006,4.27,87.0,1,0.0,0,true
STU00050,CRS008,4.91,23.67,3,68.0,3,true
STU00053,CRS007,4.47,20.33,3,60.33,3,true
STU00053,CRS012,5.21,42.33,3,56.0,3,true
STU00053,CRS015,5.23,30.0,2,66.5,2,true
STU00054,CRS004,7.0,28.33,3,67.33,3,true
STU00054,CRS012,7.53,48.33,3,45.33,3,true
STU00055,CRS003,7.31,18.0,1,68.33,3,true
