student_id,total_activities,total_hours,activity_level
STU00006,8,38.58,Moderate
STU00012,8,37.81,Moderate
STU00029,12,54.56,Active
STU00039,8,42.73,Moderate
STU00042,34,157.91,Very Active
STU00044,8,41.57,Moderate
STU00049,15,51.12,Active
STU00052,6,26.14,Moderate
STU00053,28,125.77,Very Active
STU00056,4,21.56,Moderate
STU00070,25,118.36,Very Active
STU00091,24,121.47,Very Active
STU00093,17,107.52,Very Active
STU00102,20,129.12,Very Active
STU00112,34,198.92,Very Active
STU00124,25,146.93,Very Active
STU00126,26,139.9,Very Active
STU00127,34,175.29,Very Active
STU00137,7,51.27,Active
STU00139,24,125.24,Very Active
STU00145,21,118.99,Very Active
STU00148,21,145.21,Very Active
STU00151,30,134.31,Very Active
STU00160,9,41.46,Moderate
STU00169,12,56.38,Active
STU00201,2,11.28,Low Activity
STU00202,21,126.25,Very Active
STU00204,6,39.04,Moderate
STU00205,13,46.99,Moderate
STU00210,10,45.55,Moderate
STU00213,13,61.17,Active
STU00215,34,181.07,Very Active
STU00218,14,69.46,Active
STU00219,4,17.02,Low Activity
STU00220,15,66.77,Active
STU00225,35,198.64,Very Active
STU00226,31,138.61,Very Active
STU00235,28,149.39,Very Active
STU00239,13,79.49,Active
STU00243,27,168.57,Very Active
STU00260,32,161.59,Very Active
STU00261,21,101.09,Very Active
STU00264,18,106.27,Very Active
STU00281,27,148.71,Very Active
STU00305,5,26.88,Moderate
STU00309,10,53.41,Active
STU00315,15,76.96,Active
STU00319,36,160.04,Very Active
STU00321,12,63.51,Active
STU00343,29,131.3,Very Active
STU00351,13,68.6,Active
STU00357,20,68.17,Active
STU00385,23,129.67,Very Active
STU00391,15,76.92,Active
STU00403,15,83.73,Active
STU00418,14,61.65,Active
STU00424,13,75.56,Active
STU00430,19,94.22,Active
STU00434,25,115.14,Very Active
STU00438,13,82.24,Active
STU00442,20,89.73,Active
STU00462,25,122.87,Very Active
STU00481,13,61.78,Active
STU00490,40,238.11,Very Active
STU00002,16,88.81,Active
STU00005,6,22.9,Moderate
STU00016,25,155.05,Very Active
STU00024,13,80.98,Active
STU00041,22,135.81,Very Active
STU00074,21,107.16,Very Active
STU00092,33,164.24,Very Active
STU00094,16,90.96,Active
STU00096,16,82.73,Active
STU00103,8,43.07,Moderate
STU00106,24,94.94,Active
STU00108,8,41.82,Moderate
STU00115,5,24.99,Moderate
STU00128,14,79.64,Active
STU00138,15,60.71,Active
STU00157,8,44.31,Moderate
STU00183,18,77.21,Active
STU00184,9,50.25,Active
STU00190,20,85.03,Active
STU00192,36,157.02,Very Active
STU00193,23,87.69,Active
STU00196,21,109.53,Very Active
STU00197,2,12.16,Low Activity
STU00212,7,35.92,Moderate
STU00238,10,42.01,Moderate
STU00240,16,92.22,Active
STU00247,32,159.17,Very Active
STU00253,11,65.81,Active
STU00263,12,54.38,Active
STU00272,35,182.53,Very Active
STU00274,9,40.8,Moderate
STU00278,17,82.57,Active
STU00287,8,46.25,Moderate
STU00296,19,66.84,Active
STU00298,13,83.12,Active
STU00301,21,140.86,Very Active
STU00312,13,49.64,Moderate
STU00316,9,42.57,Moderate
STU00325,8,39.55,Moderate
STU00335,3,17.76,Low Activity
STU00337,2,7.91,Low Activity
STU00345,23,114.43,Very Active
STU00348,20,75.05,Active
STU00354,30,178.42,Very Active
STU00356,8,55.55,Active
STU00361,27,131.66,Very Active
STU00366,27,166.75,Very Active
STU00370,8,45.85,Moderate
STU00378,40,227.47,Very Active
STU00379,8,34.09,Moderate
STU00389,8,48.78,Moderate
STU00395,16,75.85,Active
STU00402,34,135.26,Very Active
STU00408,22,100.45,Very Active
STU00409,14,76.76,Active
STU00410,20,107.46,Very Active
STU00412,30,143.06,Very Active
STU00416,39,208.87,Very Active
STU00422,7,29.26,Moderate
STU00426,18,68.71,Active
STU00428,17,107.26,Very Active
STU00429,15,59.89,Active
STU00437,8,37.14,Moderate
STU00439,32,173.96,Very Active
STU00449,10,48.52,Moderate
STU00463,13,46.13,Moderate
STU00474,19,99.54,Active
STU00498,9,28.04,Moderate
STU00004,23,88.58,Active
STU00010,19,79.85,Active
STU00015,16,90.66,Active
STU00020,29,160.33,Very Active
STU00068,26,130.14,Very Active
STU00069,14,55.84,Active
STU00083,32,218.65,Very Active
STU00086,17,99.14,Active
STU00097,7,44.92,Moderate
STU00119,11,53.51,Active
STU00121,18,102.29,Very Active
STU00131,8,43.88,Moderate
STU00135,14,91.2,Active
STU00147,21,103.92,Very Active
STU00155,25,137.12,Very Active
STU00159,7,32.45,Moderate
STU00172,24,114.77,Very Active
STU00179,13,64.08,Active
STU00191,22,138.35,Very Active
STU00194,28,139.68,Very Active
STU00198,5,27.09,Moderate
STU00203,8,50.11,Active
STU00208,8,43.53,Moderate
STU00217,27,121.48,Very Active
STU00227,24,147.04,Very Active
STU00229,11,32.04,Moderate
STU00230,6,27.01,Moderate
STU00233,28,128.13,Very Active
STU00236,37,214.89,Very Active
STU00241,12,47.14,Moderate
STU00246,10,49.62,Moderate
STU00248,23,118.17,Very Active
STU00249,35,204.8,Very Active
STU00252,24,133.75,Very Active
STU00254,33,200.05,Very Active
STU00269,5,36.28,Moderate
STU00270,8,45.2,Moderate
STU00273,17,80.1,Active
STU00288,27,143.09,Very Active
STU00291,20,81.53,Active
STU00294,25,107.03,Very Active
STU00323,19,99.04,Active
STU00326,12,64.37,Active
STU00336,25,123.82,Very Active
STU00338,13,75.95,Active
STU00339,10,44.72,Moderate
STU00342,9,31.73,Moderate
STU00350,26,145.66,Very Active
STU00353,13,61.54,Active
STU00364,27,161.26,Very Active
STU00388,25,133.16,Very Active
STU00396,19,100.38,Very Active
STU00398,14,74.13,Active
STU00405,18,97.6,Active
STU00419,28,142.05,Very Active
STU00448,25,124.37,Very Active
STU00466,34,154.11,Very Active
STU00472,30,181.74,Very Active
STU00480,18,100.2,Very Active
STU00485,35,193.74,Very Active
STU00486,16,83.37,Active
STU00489,35,192.25,Very Active
STU00491,20,112.38,Very Active
STU00496,31,193.29,Very Active
STU00003,29,130.73,Very Active
STU00007,8,47.95,Moderate
STU00014,25,152.55,Very Active
STU00018,25,138.23,Very Active
STU00035,6,32.88,Moderate
STU00036,15,75.9,Active
STU00047,39,216.13,Very Active
STU00065,2,8.67,Low Activity
STU00076,9,27.52,Moderate
STU00077,17,104.28,Very Active
STU00081,16,73.54,Active
STU00084,4,18.26,Low Activity
STU00089,32,186.3,Very Active
STU00107,11,59.42,Active
STU00111,10,29.64,Moderate
STU00118,25,130.95,Very Active
STU00122,10,65.51,Active
STU00125,24,119.39,Very Active
STU00133,5,29.23,Moderate
STU00141,21,111.91,Very Active
STU00154,8,43.98,Moderate
STU00161,7,39.39,Moderate
STU00162,28,159.48,Very Active
STU00163,25,147.54,Very Active
STU00166,12,48.85,Moderate
STU00178,8,37.3,Moderate
STU00180,16,75.65,Active
STU00181,14,97.46,Active
STU00186,19,112.06,Very Active
STU00199,15,84.45,Active
STU00211,14,62.18,Active
STU00214,12,60.14,Active
STU00231,14,57.09,Active
STU00232,35,195.87,Very Active
STU00237,27,130.69,Very Active
STU00250,5,41.75,Moderate
STU00257,32,191.52,Very Active
STU00267,6,22.99,Moderate
STU00268,19,93.63,Active
STU00279,32,154.18,Very Active
STU00289,8,38.62,Moderate
STU00290,19,118.72,Very Active
STU00293,8,35.92,Moderate
STU00295,32,148.84,Very Active
STU00297,20,100.16,Very Active
STU00300,21,91.47,Active
STU00302,33,192.1,Very Active
STU00303,8,44.52,Moderate
STU00317,5,32.82,Moderate
STU00334,9,42.82,Moderate
STU00347,19,100.72,Very Active
STU00373,8,59.68,Active
STU00374,19,75.1,Active
STU00383,12,62.32,Active
STU00386,3,11.81,Low Activity
STU00399,24,127.16,Very Active
STU00415,25,108.06,Very Active
STU00427,11,76.21,Active
STU00436,23,111.8,Very Active
STU00444,8,43.81,Moderate
STU00460,4,12.5,Low Activity
STU00468,23,114.73,Very Active
STU00477,24,123.32,Very Active
STU00484,19,95.31,Active
STU00488,8,36.45,Moderate
STU00493,9,44.5,Moderate
STU00499,29,171.37,Very Active
STU00500,25,137.18,Very Active
STU00008,29,148.45,Very Active
STU00013,8,46.9,Moderate
STU00022,16,93.1,Active
STU00027,3,21.27,Moderate
STU00033,7,25.83,Moderate
STU00034,15,86.57,Active
STU00037,24,119.01,Very Active
STU00058,26,130.64,Very Active
STU00059,30,172.44,Very Active
STU00060,24,136.09,Very Active
STU00085,8,23.39,Moderate
STU00098,32,168.56,Very Active
STU00104,6,39.56,Moderate
STU00120,24,139.93,Very Active
STU00130,15,100.46,Very Active
STU00150,20,97.3,Active
STU00153,12,76.19,Active
STU00164,6,22.92,Moderate
STU00167,22,120.99,Very Active
STU00168,12,66.36,Active
STU00185,26,154.8,Very Active
STU00206,35,170.38,Very Active
STU00207,27,155.39,Very Active
STU00209,8,26.51,Moderate
STU00216,26,141.26,Very Active
STU00222,27,129.6,Very Active
STU00242,28,168.31,Very Active
STU00259,25,106.46,Very Active
STU00265,27,140.06,Very Active
STU00271,2,10.96,Low Activity
STU00277,33,162.9,Very Active
STU00304,22,102.43,Very Active
STU00307,26,129.45,Very Active
STU00308,21,96.62,Active
STU00311,8,39.9,Moderate
STU00318,18,133.79,Very Active
STU00324,16,70.33,Active
STU00329,36,223.49,Very Active
STU00346,24,128.61,Very Active
STU00358,8,46.22,Moderate
STU00363,9,64.83,Active
STU00371,5,25.34,Moderate
STU00390,29,159.07,Very Active
STU00397,20,103.39,Very Active
STU00414,9,52.3,Active
STU00435,14,107.37,Very Active
STU00441,32,155.55,Very Active
STU00443,8,56.33,Active
STU00450,37,201.4,Very Active
STU00452,31,192.52,Very Active
STU00456,19,98.27,Active
STU00461,15,91.97,Active
STU00469,31,156.92,Very Active
STU00483,19,92.02,Active
STU00487,19,95.73,Active
STU00492,34,139.9,Very Active
STU00011,14,67.84,Active
STU00017,16,71.63,Active
STU00026,8,28.49,Moderate
STU00028,7,32.9,Moderate
STU00030,16,70.55,Active
STU00040,24,117.61,Very Active
STU00046,12,73.13,Active
STU00054,27,133.83,Very Active
STU00057,12,67.14,Active
STU00063,8,56.62,Active
STU00072,4,15.29,Low Activity
STU00073,25,126.87,Very Active
STU00079,15,78.75,Active
STU00080,24,122.63,Very Active
STU00082,24,135.03,Very Active
STU00099,18,96.58,Active
STU00100,17,102.69,Very Active
STU00105,33,166.35,Very Active
STU00113,13,69.43,Active
STU00117,17,102.54,Very Active
STU00132,20,121.76,Very Active
STU00134,26,126.15,Very Active
STU00140,13,87.7,Active
STU00149,22,108.66,Very Active
STU00152,16,88.26,Active
STU00173,14,66.5,Active
STU00182,22,87.53,Active
STU00189,16,86.7,Active
STU00224,8,46.53,Moderate
STU00228,22,133.45,Very Active
STU00256,16,94.37,Active
STU00258,31,179.63,Very Active
STU00275,11,70.42,Active
STU00280,32,163.61,Very Active
STU00283,25,140.96,Very Active
STU00286,22,102.98,Very Active
STU00299,16,85.89,Active
STU00310,5,17.17,Low Activity
STU00313,24,106.03,Very Active
STU00314,14,67.47,Active
STU00320,36,205.08,Very Active
